,ngram,count
8,i know the sound,28
3670,it takes a bit,26
3671,takes a bit more,26
2081,i don't want your,22
2082,don't want your body,22
7188,never gonna quit it,20
9269,if we made it,19
9268,it if we made,19
9267,love it if we,19
9266,i'd love it if,19
3669,yeah it takes a,18
7186,no we're never gonna,16
7187,we're never gonna quit,16
1466,far it's alright alright,16
7189,gonna quit it no,16
1464,yeah so far it's,16
529,why do you talk,16
1465,so far it's alright,16
7811,this must be my,15
7812,must be my dream,15
2250,loving someone oh oh,15
10,the sound i know,14
2138,body i don't want,14
11,sound i know the,14
3674,more yeah it takes,14
1101,it all the time,14
1100,doing it all the,14
12,know the sound of,14
13,the sound of your,14
3,know when you're around,14
1099,she's doing it all,14
2,i know when you're,14
14,sound of your heart,14
9,know the sound i,14
2137,your body i don't,14
2136,want your body i,14
3672,a bit more yeah,13
4610,had a change of,13
3673,bit more yeah it,13
2251,someone oh oh loving,13
2252,oh oh loving someone,13
4611,a change of heart,13
4608,i just had a,13
4609,just had a change,13
6754,you wanna find love,12
4562,it's not it's not,12
2246,yeah you should be,12
6755,wanna find love then,12
6756,find love then you,12
5598,out she way out,12
1,well i know when,12
6753,yeah you wanna find,12
5588,i've never seen her,12
9265,and i'd love it,12
22,when you're around 'cause,12
23,you're around 'cause i,12
24,around 'cause i know,12
25,'cause i know the,12
5587,out i've never seen,12
5586,way out i've never,12
5585,she way out i've,12
5596,she way out she,12
5597,way out she way,12
6761,where the city is,12
6759,you know where the,12
6760,know where the city,12
6758,then you know where,12
6757,love then you know,12
1470,baby yeah so far,12
1469,alright baby yeah so,12
1468,alright alright baby yeah,12
1467,it's alright alright baby,12
2255,someone yeah you should,11
2253,oh loving someone yeah,11
2254,loving someone yeah you,11
2249,be loving someone oh,10
1102,all the time yeah,10
3675,a bit more than,10
2248,should be loving someone,10
2247,you should be loving,10
8357,i wanna see you,10
4410,it's not living if,10
4411,not living if it's,10
4412,living if it's not,10
4413,if it's not with,10
4414,it's not with you,10
1103,the time yeah she's,10
1105,yeah she's doing it,10
3676,bit more than you,10
1104,time yeah she's doing,10
7102,i'm not scared i'm,9
1876,she's got a boyfriend,9
7103,not scared i'm not,9
7104,scared i'm not scared,9
5294,always wanna die always,9
1877,got a boyfriend anyway,9
5295,wanna die always wanna,9
4563,not it's not it's,9
17,heart well i know,9
3494,early early early early,9
3455,can i find myself?,9
3454,how can i find,9
3453,then how can i,9
6763,city is yeah you,9
5296,die always wanna die,9
6764,is yeah you wanna,9
5846,i'm not giving it,9
5847,not giving it up,9
16,your heart well i,9
15,of your heart well,9
7191,it no we're never,8
7190,quit it no we're,8
1420,around but you're dead,8
7185,petticoats no we're never,8
7184,our petticoats no we're,8
7183,under our petticoats no,8
7182,hidden under our petticoats,8
7181,guns hidden under our,8
535,do you talk so?,8
2726,to go to paris,8
531,you talk so loud?,8
1421,but you're dead now,8
1418,see you around but,8
1419,you around but you're,8
8521,your tongue as well,8
9320,it and i'd love,8
9319,made it and i'd,8
1218,i think i'm falling,8
9318,we made it and,8
2723,how i'd love to,8
8524,well as your hands,8
8523,as well as your,8
8522,tongue as well as,8
8520,on your tongue as,8
1417,i'd see you around,8
8519,is on your tongue,8
2724,i'd love to go,8
2725,love to go to,8
8518,blood is on your,8
8517,the blood is on,8
1414,well i thought i'd,8
1415,i thought i'd see,8
1416,thought i'd see you,8
1012,medicine yeah you're medicine,8
530,do you talk so,8
5227,i always wanna die,8
3031,then she's so american,7
3014,don't eat and we're,7
