,ngram,count
1828,it takes a,26
1829,takes a bit,26
1830,a bit more,26
951,don't you mind,19
1827,yeah it takes,18
1214,so far it's,16
1216,it's alright alright,16
1215,far it's alright,16
1213,yeah so far,16
1166,all the time,14
1832,more yeah it,14
1165,it all the,14
1164,doing it all,14
1163,she's doing it,14
1831,bit more yeah,13
1218,alright baby yeah,12
514,i'm not scared,12
1217,alright alright baby,12
1219,baby yeah so,12
1081,medicine yeah you're,12
1645,wanna see you,10
1644,i wanna see,10
1833,bit more than,10
1834,more than you,10
1169,yeah she's doing,10
1168,time yeah she's,10
1167,the time yeah,10
519,not scared i'm,9
520,scared i'm not,9
321,i think i'm,8
322,think i'm falling,8
929,you around but,8
931,but you're dead,8
930,around but you're,8
932,you're dead now,8
177,the blood is,8
182,tongue as well,8
924,well i thought,8
925,i thought i'd,8
926,thought i'd see,8
178,blood is on,8
928,see you around,8
185,as your hands,8
184,well as your,8
183,as well as,8
927,i'd see you,8
181,your tongue as,8
180,on your tongue,8
179,is on your,8
1082,yeah you're medicine,8
952,you mind i,7
936,now well i,7
935,dead now well,7
1079,you're my medicine,7
193,archaic and content,6
198,wash them off,6
325,i'm falling for,6
1836,you it takes,6
1835,than you it,6
197,just wash them,6
196,you just wash,6
195,content you just,6
194,and content you,6
191,your hands archaic,6
192,hands archaic and,6
959,mind don't you,6
326,falling for you,6
958,you mind don't,6
323,i'm falling i'm,6
933,dead now dead,6
934,now dead now,6
119,it the same,6
120,the same for,6
121,same for you?,6
324,falling i'm falling,6
118,is it the,6
1894,do you wanna,6
1080,my medicine yeah,6
1083,you're medicine yeah,6
607,head cars bending,6
393,you now i,6
1630,didn't even see,5
1647,you undo it,5
1652,but you're not,5
1651,you but you're,5
1632,see you when,5
1650,see you but,5
1649,it i wanna,5
1648,undo it i,5
1633,you when i,5
1631,even see you,5
1634,when i liked,5
1635,i liked you,5
1636,liked you now,5
1637,now i ain't,5
1646,see you undo,5
1643,girl i wanna,5
1642,time girl i,5
1638,i ain't got,5
1639,ain't got no,5
1653,you're not mine,5
1640,got no time,5
200,off the blood,5
1641,no time girl,5
1629,i didn't even,5
16,i love you,5
199,them off the,5
