,ngram,count
3788,it takes a bit more,26
2149,i don't want your body,22
9579,it if we made it,19
9577,i'd love it if we,19
9578,love it if we made,19
3787,yeah it takes a bit,18
7417,never gonna quit it no,16
7416,we're never gonna quit it,16
7415,no we're never gonna quit,16
1521,so far it's alright alright,16
1520,yeah so far it's alright,16
8066,this must be my dream,15
2208,body i don't want your,14
2,i know when you're around,14
2207,your body i don't want,14
2205,don't want your body i,14
1138,she's doing it all the,14
1139,doing it all the time,14
14,the sound of your heart,14
13,know the sound of your,14
12,i know the sound of,14
11,sound i know the sound,14
10,the sound i know the,14
9,know the sound i know,14
8,i know the sound i,14
2206,want your body i don't,14
3792,more yeah it takes a,14
3791,bit more yeah it takes,13
2325,loving someone oh oh loving,13
2326,someone oh oh loving someone,13
3789,takes a bit more yeah,13
3790,a bit more yeah it,13
4767,had a change of heart,13
4766,just had a change of,13
4765,i just had a change,13
5784,way out she way out,12
6975,find love then you know,12
25,when you're around 'cause i,12
24,know when you're around 'cause,12
1523,it's alright alright baby yeah,12
6977,then you know where the,12
5783,she way out she way,12
6973,you wanna find love then,12
6974,wanna find love then you,12
26,you're around 'cause i know,12
6972,yeah you wanna find love,12
1522,far it's alright alright baby,12
1,well i know when you're,12
6978,you know where the city,12
6976,love then you know where,12
1526,baby yeah so far it's,12
1524,alright alright baby yeah so,12
5773,way out i've never seen,12
5774,out i've never seen her,12
6979,know where the city is,12
1525,alright baby yeah so far,12
5772,she way out i've never,12
28,'cause i know the sound,12
27,around 'cause i know the,12
9576,and i'd love it if,12
2330,someone yeah you should be,11
2329,loving someone yeah you should,11
2328,oh loving someone yeah you,11
2327,oh oh loving someone yeah,11
2321,yeah you should be loving,10
1140,it all the time yeah,10
1142,the time yeah she's doing,10
1143,time yeah she's doing it,10
1141,all the time yeah she's,10
4560,living if it's not with,10
2322,you should be loving someone,10
2323,should be loving someone oh,10
2324,be loving someone oh oh,10
4558,it's not living if it's,10
4561,if it's not with you,10
3793,takes a bit more than,10
3794,a bit more than you,10
1144,yeah she's doing it all,10
4559,not living if it's not,10
5474,wanna die always wanna die,9
15,sound of your heart well,9
3558,then how can i find,9
5473,always wanna die always wanna,9
3559,how can i find myself?,9
6982,city is yeah you wanna,9
6983,is yeah you wanna find,9
7329,not scared i'm not scared,9
4716,it's not it's not it's,9
7328,i'm not scared i'm not,9
