,ngram,count
1734,i know the,28
1735,know the sound,28
1394,i don't want,22
1396,want your body,22
1395,don't want your,22
1988,be my dream,15
2499,loving someone oh,15
2500,someone oh oh,15
1986,this must be,15
1987,must be my,15
1728,i know when,14
1736,the sound i,14
1445,your body i,14
1446,body i don't,14
1729,know when you're,14
2143,giving it up,14
1739,sound of your,14
1738,the sound of,14
1737,sound i know,14
1740,of your heart,14
1748,'cause i know,14
1730,when you're around,14
40,just had a,13
41,had a change,13
39,i just had,13
2502,oh loving someone,13
2501,oh oh loving,13
42,a change of,13
43,change of heart,13
1406,with somebody else,12
1727,well i know,12
2495,yeah you should,12
1746,you're around 'cause,12
1747,around 'cause i,12
2496,you should be,12
2503,loving someone yeah,11
2504,someone yeah you,11
2497,should be loving,10
251,early early early,10
2498,be loving someone,10
1741,your heart well,9
2229,i'm not giving,9
419,to go to,9
2230,not giving it,9
1742,heart well i,9
436,then how can,9
437,how can i,9
439,i find myself?,9
438,can i find,9
774,how i'd love,8
778,to paris again,8
777,go to paris,8
776,love to go,8
775,i'd love to,8
1519,get someone you,8
433,if i'm lost,8
1239,i've got to,7
1240,got to fix,7
1241,to fix my,7
1242,fix my teeth,7
1238,says i've got,7
1243,my teeth then,7
1244,teeth then she's,7
1245,then she's so,7
1246,she's so american,7
1248,american she's american,7
1237,she says i've,7
1226,we just don't,7
254,monogamy there isn't,7
255,there isn't much,7
178,of heart i,7
1247,so american she's,7
1222,she likes it,7
1227,just don't eat,7
1228,don't eat and,7
1229,eat and we're,7
1234,she's american if,7
1235,american if she,7
1225,cause we just,6
1223,likes it cause,6
1236,if she says,6
1221,if she likes,6
253,early monogamy there,6
440,find myself? if,6
441,myself? if i'm,6
2367,and love me,6
2368,love me yeah,6
1397,your body but,6
1224,it cause we,6
252,early early monogamy,6
229,heart i just,6
2015,amount to? this,5
2020,can't make love,5
2011,does all our,5
2012,all our love,5
2013,our love amount,5
2014,love amount to?,5
257,much early early,5
2016,to? this must,5
2017,my dream we,5
2018,dream we can't,5
2375,wanna do oh,5
2019,we can't make,5
2021,make love when,5
2009,dream what does,5
2022,love when you,5
2023,when you fly,5
2024,you fly around,5
2025,fly around me,5
2374,you wanna do,5
2373,what you wanna,5
2372,that's what you,5
2312,it up i'm,5
2313,up i'm not,5
2371,if that's what,5
2010,what does all,5
2008,my dream what,5
1996,you this must,5
256,isn't much early,5
72,oh i just,5
2144,it up again,5
1989,my dream wide,5
1990,dream wide awake,5
1991,wide awake before,5
1992,awake before i,5
1993,before i found,5
1994,i found you,5
1995,found you this,5
2007,from my dream,5
1997,my dream i,5
2026,around me baby,5
1998,dream i can't,5
1999,i can't wait,5
2000,can't wait for,5
2001,wait for you,5
2002,for you boy,5
2003,you boy wake,5
2004,boy wake me,5
2005,wake me from,5
2006,me from my,5
2377,oh yeah? no,5
464,it? can you,4
240,big light off,4
239,the big light,4
1252,and we're socially,4
238,turn the big,4
237,go turn the,4
461,can you see,4
443,lost now then,4
442,i'm lost now,4
235,before you go,4
435,lost then how,4
434,i'm lost then,4
1253,we're socially relevant,4
475,you feel it?,4
1255,relevant she's american,4
1254,socially relevant she's,4
474,can you feel,4
444,now then how,4
1522,love? get someone,4
1533,you my soul,4
1520,someone you love?,4
1521,you love? get,4
1523,someone you need?,4
1524,you need? fuck,4
1525,need? fuck that,4
1526,fuck that get,4
1527,that get money,4
1529,money i can't,4
1530,i can't give,4
1531,can't give you,4
1532,give you my,4
1528,get money i,4
1534,my soul 'cause,4
2369,me yeah if,4
876,and how i'd,4
1535,soul 'cause we're,4
2376,do oh yeah?,4
2370,yeah if that's,4
875,again and how,4
874,paris again and,4
1537,we're never alone,4
1536,'cause we're never,4
1188,in love with,4
2182,that's going on,3
2192,a second time,3
2191,life a second,3
2190,my life a,3
2189,over my life,3
2188,taking over my,3
2187,mind taking over,3
2186,my mind taking,3
2185,in my mind,3
2184,on in my,3
2183,going on in,3
1189,love with the,3
2181,thing that's going,3
2180,only thing that's,3
2179,the only thing,3
2178,you're the only,3
2177,and you're the,3
2176,[chorus] and you're,3
773,oh how i'd,3
781,paris again [verse,3
974,she lays down,3
2194,time i don't,3
300,and if i,3
2193,second time i,3
2196,don't have the,3
2195,i don't have,3
2197,have the capacity,3
2216,my money i,3
1220,[chorus] if she,3
1749,your heart [verse,3
2217,money i lied,3
2218,i lied it,3
2220,it took a,3
2221,took a little,3
2222,a little while,3
2223,little while to,3
2224,while to recognize,3
2225,to recognize that,3
2226,recognize that i,3
2227,that i i'm,3
2228,i i'm not,3
2265,it up giving,3
2266,up giving it,3
2366,[chorus] and love,3
2378,yeah? no and,3
2379,no and love,3
2215,without my money,3
2214,better without my,3
2213,it better without,3
2206,helping me when,3
2198,the capacity for,3
2199,capacity for fucking,3
2200,for fucking you're,3
2201,fucking you're meant,3
